question,option,answer_key,confidence,attendu
"CONCERNANT LE MAITRE-CONE, QUELLE(S) EST (SONT) LA (LES) PROPOSITION(S) EXACTE(S)?","A. Le maître-cône doit atteindre la LT, mais ne doit pas pouvoir être inséré au-delà.
B. Le maître-cône doit présenter un verrou apical qui se matérialise par une légère résistance lors de la désinsertion.
C. Le maître-cône ne doit pas se gauchir à l'apex.
D. Le maître-cône doit avoir être calibré au diamètre de la lime apicale maîtresse.
E. Autre réponse",,,"A,B,C,D"
"AVANT UNE OBTURATION CANALAIRE VOUS DEVREZ AVOIR CONTROLE L’AJUSTAGE DU MAITRE CONE, QUE CONTROLEZ VOUS AU NIVEAU DU CONE?","A. la densité
B. la conicité
C. la résistance au retrait
D. la longueur
E. le diamètre",,,"C,D,E"
" POUR REALISER UNE CONDENSATION LATERALE A FROID, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Vous compactez le maître cône au tiers apical avec le finger spreader de petit diamètre à la LT puis au tiers coronaire avec celui de plus gros diamètre
B. Vous compactez le maître cône au tiers apical avec le finger spreader de plus gros diamètre à la LT puis au tiers coronaire avec celui de petit diamètre
C. Vous compactez le maître cône au tiers apical avec le finger spreader de petit diamètre à la LT-1 mm puis au tiers coronaire avec celui de plus gros diamètre
D. Vous compactez le maître cône au tiers apical avec le finger spreader de plus gros diamètre à la LT -1mm puis au tiers coronaire avec celui de petit diamètre",,,C
"POUR REALISER UNE OBTURATION EN TECHNIQUE MIXTE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Vous compactez le maître cône au tiers apical avec le finger spreader de plus gros diamètre à la LT puis au tiers coronaire avec celui de petit diamètre
B. Vous compactez le maître cône au tiers coronaire avec celui de plus gros diamètre puis au tiers apical avec le finger spreader de petit diamètre à la LT-2 mm
C. Vous choisissez un compacteur thermomécanique du même diamètre que celui de la LAM et vous le descendez à LT-5mm
D. Vous choisissez un compacteur thermomécanique de diamètre supérieur au diamètre de la LAM et vous le descendez à LT-5mm",,,"B,D"
"LORS DE LA CONDENSATION LATERALE A FROID, LE FINGER SPREADER?","A. Doit être le plus fin possible
B. Est essayé avec le maître cône en place
C. Doit atteindre la longueur de travail moins 1 à 2 mm
D. Ne doit pas exercer de contraintes sur les parois",,,"C,D"
"CONCERNANT LA TECHNIQUE DE CONDENSATION LATERALE, QUELLES SONT LES PROPOSITIONS EXACTES","A. Si des cônes accessoires sont nécessaires, ils doivent être insérés jusqu'à la LT.
B. Lorsqu'elle est nécessaire, la compaction latérale du maître cône et des cônes accessoires se fait avec des fouloirs de type finger spreader utilisés avec une poussée latérale.
C. La partie coronaire de la gutta est compactée grâce à un fouloir de machtou.
D. L’obturation idéale implique un minimum de gutta-percha et un maximum de ciment.
E. Autre réponse",,,C
POUR REALISER UNE OBTURATION EN TECHNIQUE MIXTE DE QUOI AVEZ-VOUS BESOIN?,"A. D’un finger spreader qui assurera la thermo-compaction de la gutta percha
B. D’un gutta condensor qui assurera la condensation latérale de la gutta percha
C. De cônes de gutta percha non normalisés qu’il faudra calibrer avec les filières d’une réglette endodontique
D. D’un ciment d’obturation canalaire, d’un maitre cône et de cônes accessoires",,,"C,D"
"LORS DE L’ESSAYAGE DU MAITRE CONE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Vous ajustez la longueur du maitre cône en fonction de la LT puis le diamètre en fonction du jaugeage du diamètre apical
B. Le maitre cône est essayé dans un canal sec
C. Vous réalisez un contrôle visuel en contrôlant la bonne pénétration du maitre cône à la longueur de travail par rapport à un repère coronaire
D. Vous réalisez un contrôle radiographique en contrôlant la bonne pénétration du maitre cône jusqu’à la longueur de travail
E. Vous réalisez un contrôle tactile avec le Tug Back qui vous permet de contrôler la résistance à la pénétration du maitre cône",,,"C,D"
"CONCERNANT LE MAITRE CONE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Est essayé dans un canal sec
B. Doit être ajusté selon des critères visuel, tactile et radiologique
C. Est calibré au diamètre de la lime apicale maîtresse
D. Doit être le plus fin possible",,,"B,C"
"DANS LA TECHNIQUE MIXTE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Vous choisissez le finger spreader de plus petit diamètre qui bloque à LT-1mm
B. Vous choisissez le compacteur thermomécanique de plus gros diametre qui descend à LT-1mm
C. La thermocompaction concerne toute la longueur canalaire
D. La thermocompaction concerne les 2/3 coronaires de la longueur canalaire",,,D
"CONCERNANT L’OBTURATION CANALAIRE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. -Intervient sur un canal sec
B. Intervient quand le maître-cône est ajusté
C. Doit être reportée si la dent est symptomatique
D. Doit être radioclaire et étanche",,,"A,B,C"
" LORS DE L’OBTURATION EN CONDENSATION LATERALE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Le finger spreader doit toujours être inséré le long de la même paroi
B. Les cônes accessoires sont plus gros que le maître cône
C. Les cônes de gutta sont insérés lentement
D. La condensation est réalisée après insertion de tous les cônes.",,,"A,C"
"NBB QRM C111: PARMI LES CRITERES RADIOLOGIQUES SUIVANTS, LESQUELS SONT EN FAVEUR D’UNE OBTURATION ENDODONTIQUE ADEQUATE ?","A. L'absence de vacuités
B. Une radio-clarté forte
C. Le respect de la limite de la préparation
D. Une conicité irrégulière de l'obturation",,,"A,C"
"POUR AVOIR UNE OBTURATION ENDODONTIQUE ADEQUATE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Doit être moins dense que la dentine
B. Ne doit pas présenter de sur-extension
C. Doit obturer tout le système canalaire
D. Doit être recouverte d’une restauration coronaire étanche au plus tôt 6 mois après le traitement",,,"B,C"
"CONCERNANT L'EVALUATION DU SUCCES DU TRAITEMENT ENDODONTIQUE D’UNE LIPOE, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Se fait uniquement sur un cliche radiographique
B. N’est validé que lorsque l’on a une reconstitution ad integrum de la region périapicale
C. Ne dépend que de la qualité du traitement endodontique
D. Toutes les réponses sont justes
E. Toutes les réponses sont fausses",,,B
"Dans les protocoles de collage, il est recommandé de « sécher sans dessécher » la surface dentinaire. Après séchage pendant quelques secondes, il est fréquent de constater que la surface dentinaire est à nouveau humide. Que faut-il éviter de faire à ce stade ?","A. polir la surface
B. nettoyer la surface avec de l'eau
C. laisser la surface humide
D. appliquer un adhésif
E. sécher à nouveau la surface",,,E
Qu'est-ce qui permet à la pulpe de s'adapter aux variations de pression ?,"A. Formation de nouveaux odontoblastes
B. Réponse immunitaire contre les bactéries
C. Viscoélasticité de la matrice extracellulaire
D. Régulation du système immunitaire de la pulpe
E. Capturer les antigènes et les mobiliser vers les ganglions lymphatiques",,,C
Qu'est-ce que l'allodynie?,"A. L'allodynie est une augmentation de la sensibilité à la douleur dans tout le corps
B. L'allodynie est une augmentation de la sensibilité à la douleur dans tout le corps et le temps.
C. L'allodynie est une diminution de la sensibilité à la douleur dans tout le corps
D. L'allodynie est une augmentation de la sensibilité à la douleur dans une zone spécifique du corps
E. L'allodynie est une sensation douloureuse perçue après une stimulation habituellement non douloureuse",,,E
Qu'est-ce que l'hyperalgésie?,"A. L'hyperalgésie est une sensation douloureuse perçue après une stimulation habituellement non douloureuse
B. L'hyperalgésie est une augmentation de la sensibilité à la douleur dans tout le corps
C. L'hyperalgésie est une sensation douloureuse dont l'intensité perçue est supérieure à celle provoquée habituellement par un même stimulus nociceptif
D. L'hyperalgésie est une augmentation de la sensibilité à la douleur dans une zone spécifique du corps
E. L'hyperalgésie est une diminution de la sensibilité à la douleur dans tout le corps",,,C
Qu'est-ce qu'une LIPOE ?,"A. Une fracture de la dent
B. Une pêche
C. Une infection de la dent
D. Une lésion inflammatoire
E. Une carie dentaire",,,D
Quels sont les symptômes de la parodontite apicale aiguë ?,"A. Absence de douleur au test de sensibilité au froid
B. Douleurs uniquement lors de la consommation de boissons chaudes ou froides
C. Absence de douleur au test de sensibilité au froid mais douleur au chaud
D. Douleurs uniquement lors de la mastication
E. Sensation de dent longue",,,"A,E"
Quel est l'un des signes essentiels d'une parodontite apicale aigue?,"A. L'allodynie mécanique
B. La douleur à la morsure
C. La présence d'une fistule
D. La douleur au test de sensibilité thermique
E. La douleur spontanée",,,A
Quelle est la procédure recommandée en cas d'exposition dentinaire après traumatisme depuis moins de 24h?,"A. Traitement endodontique sous champ opératoire
B. Traitement endodontique sous champ opératoire  après antibioprophylaxie
C. Coiffage pulpaire sous champ opératoire
D. Coiffage pulpaire sous champ opératoire après antibioprophylaxie
E. Coiffage pulpaire sous champ opératoire après antibiothérapie",,,C
Quelle est la procédure recommandée en cas de pulpite réversible après élimination du tissu carieux à proximité pulpaire sans exposition?,"A. Extraction de la dent
B. Coiffage pulpaire indirect
C. Coiffage pulpaire direct
D. Pulpotomie
E. Pulpectomie",,,B
Quel est l'objectif principal du traitement d'urgence pour une pulpite irréversible ?,"A. Éliminer les irritants bactériens et réduire la pression intrapulpaire
B. Prévenir la contamination de l'endodonte
C. Réparer la dent endommagée
D. Nettoyer la surface de la plaie
E. Éliminer toute douleur desmodontale",,,A
Quelle est la différence entre une pulpotomie et une pulpectomie ?,"A. Une pulpotomie consiste en l'éviction de la totalité du parenchyme pulpaire, tandis qu'une pulpectomie consiste en l'éviction la pulpe camérale
B. La principale différence réside dans le fait que la pulpotomie est réalisée en une séance, tandis qu'une pulpectomie est réalisée en plusieurs séances
C. Une pulpotomie est réalisée en cas de pulpite irréversible, tandis qu'une pulpectomie est réalisée en cas de parodontite apicale aiguë
D. Une pulpotomie est réalisée sur une dent monoradiculée, tandis qu'une pulpectomie est réalisée sur une dent pluriradiculée
E. Une pulpotomie consiste en l'éviction de la pulpe camérale, tandis qu'une pulpectomie consiste en l'éviction de la totalité du parenchyme pulpaire",,,E
Quelle est la recommandation après drainage intracanalaire lors du traitement d'un abcès apical aigu ?,"A. Laisser la dent ouverte pendant 48 heures
B. Mettre en place une médication intracanalaire en présence d'un arrêt du suintement
C. Laisser la dent ouverte pendant 24 heures puis réaliser l'obturation canalaire définitive
D. Fermer immédiatement la dent par une obturation canalaire
E. Laisser la dent ouverte pendant 72 heures",,,B
Quelle est la prescription recommandée pour un patient en bonne santé présentant un tableau clinique de parodontite apicale aiguë et traitée par pulpectomie?,"A. Un traitement antalgique adapté à la douleur
B. Un traitement antibiotique à large spectre
C. Un traitement  antalgique associé à un anti-inflammatoire
D. Un traitement antibiotique à large spectre associé à un traitement antalgique
E. Un traitement antalgique (paracetamol ou paracetamol codéiné)",,,"A,C"
Quels sont les signes de gravité susceptibles de mettre en jeu le pronostic vital lors d'une cellulite maxillo-faciale ?,"A. Un érythème avec extension cervicale
B. Une tuméfaction jugale évoluant vers la région ophtalmique
C. Une crépitation neigeuse à la palpation du plancher buccal
D. L'élévation de la température
E. Une tuméfaction en fond de vestibule",,,"B,C"
Quel est le traitement recommandé si le patient est allergique aux bêta-lactamines ?,"A. Pénicilline
B. Métronidazole
C. Céfalexine
D. Clindamycine
E. Amoxicilline",,,D
Quels sont les médicaments composant une prescription antalgique de niveau 2 selon la classification de l'OMS ?,"A. Aspirine et tramadol
B. Paracétamol et codéine
C. Ibuprofène et paracétamol
D. Morphine et paracétamol
E. Lamaline et paracétamol",,,B
Quelle est la théorie hydrodynamique de Brännström concernant la douleur dentinaire ?,"A. La  théorie hydrodynamique de Brännström ne concerne pas la douleur dentinaire
B. La douleur dentinaire est causée par une activation du système parasympathique via les canaux sodiques
C. L'activation des fibres intrapulpaires résulte du déplacement du contenu des tubules dentinaires à la suite d'un stimulus mécanique, thermique ou osmotique
D. La douleur dentinaire est causée par une inflammation due à une surpression au sein de la pulpe dentaire
E. La douleur dentinaire est causée par la diffusion du LPS issu de la carie dentaire",,,C
Quelles sont les caractéristiques des douleurs pulpaires dans le cadre d'une pulpite irréversible ?,"A. Absentes au niveau de la dent affectée mais pouvant être très élevées sur les tissus environnants (gencive, fond de vestibul
B. Intenses, mal localisées et souvent ressenties dans d'autres structures faciales, dentaires et musculaires
C. Intenses, bien localisées et uniquement ressenties dans la dent affectée
D. Sourdes, bien localisées et souvent ressenties dans d'autres structures faciales, dentaires et musculaires
E. Légères, bien localisées et uniquement ressenties dans la dent affectée",,,B
Quelles sont les fibres nerveuses responsables des douleurs pulpaire en présence d'une pulpite installée depuis quelques semaines?,"A. Fibres Aδ
B. Fibres B
C. Fibres Aβ
D. Fibres C
E. Fibres Aγ",,,D
Qu'est-ce qui peut rendre les tests de vitalité pulpaire au chaud moins fiables que les tests au froid ?,"A. La gutta se solidifie à basse température
B. Les tests au chaud sont moins rapides
C. Les tests au chaud sont moins précis
D. La gutta se ramollit à haute température
E. Les tests au chaud sont plus douloureux",,,D
Quelle est la sensibilité du test au froid pour détecter une maladie pulpaire ?,"A. 0.95
B. 0.52
C. 0.36
D. 0.18
E. 0.83",,,E
Quelle est la probabilité de ne pas avoir de réponse sensible par une pulpe nécrotique avec le test au chaud ?,"A. 0.88
B. 0.93
C. 0.89
D. 0.72
E. 0.48",,,E
Quelle est l'occurrence des douleurs postendodontiques 6 mois après traitement?,"A. 0.12
B. 0.06
C. 0.03
D. 2.5%
E. 5-7% toutes causes confondues, 3.5% de causes non dentaires",,,E
Quelle est la prévalence des lésions nerveuses postendodontiques du nerf alvéolaire inférieur ?,"A. De 1/20 000 à 1/850 000
B. De 1/1000 à 1/10 000
C. De 1/100 000 à 1/1 000 000
D. De 1/10 000 à 1/100 000
E. De 1/100 à 1/1000",,,A
Quels sont les ciments les plus neurotoxiques ?,"A. Ceux contenant du zinc
B. Ceux contenant du silicate de calcium
C. Ceux contenant du ciment à base de résine
D. Ceux contenant de l'eugénol
E. Ceux contenant du paraformaldéhyde",,,E
Quelle est l'approche thérapeutique recommandée en cas de dépassement de matériau d'obturation dans le péri-apex?,"A. Un traitement médicamenteux antibiotique est nécessaire
B. Un traitement médicamenteux basé sur un anti-inflammatoire stéroidien est nécessaire
C. Une extraction de la dent incriminée est nécessaire
D. Un contrôle doit être reprogrammé, le traitement dépendra de la symptomatologie
E. Une résection apicale est nécessaire",,,D
Quelles molécules sont recommandées en première ligne pour le traitement des douleurs neuropathiques ?,"A. Les antidépresseurs tricycliques et les inhibiteurs de recapture de la sérotonine et de la noradrénaline
B. Les analgésiques opioïdes
C. Les antalgiques de palier 1
D. Les anti-inflammatoires non stéroïdiens
E. Les antibiotiques",,,A
Quelles sont les modifications topographiques engendrées par l'endocardite infectieuse ?,"A. Des zones de calme du flux lymphatique
B. Des zones de turbulences du flux lymphatique
C. Il n'y a aucune modification topographique
D. Des zones de calme du flux sanguin au niveau des zones cicatricielles
E. Des zones de turbulences du flux sanguin et des zones inflammatoires",,,E
Quel est le traitement de l'endocardite infectieuse ?,"A. Administration de céfotaxime par voie intraveineuse pendant 4 semaines
B. Administration de vancomycine par voie intraveineuse pendant 4 semaines
C. Administration de ciprofloxacine par voie intraveineuse pendant 4 semaines
D. Administration d'amoxicilline par voie intraveineuse pendant 4 semaines
E. Administration de doxycycline par voie intraveineuse pendant 4 semaines",,,D
Quel est le pourcentage de mortalité des patients hospitalisés pour une endocardite infectieuse ?,"A. Plus de 50 %
B. Moins de 5 %
C. Entre 5 % et 10 %
D. Entre 9,6 % et 26 %
E. Entre 30 % et 50 %",,,D
Quels sont les patients à haut risque d'endocardite infectieuse ?,"A. ceux qui ont une maladie hépatique sévère associée à une maladie rénale
B. les patients présentant une communication interventriculaire
C. Ceux qui sont porteurs d'une valve prothétique ou de matériel prothétique de réparation valvulaire,
D. les patients porteurs d'un pacemaker ancienne génération
E. les patients présentant une insuffisance de la valve mitrale",,,"B,C"
Quelles sont les procédures endodontiques à risque d'endocardite infectieuse ?,"A. Le blanchiment des dents
B. Le polissage des dents
C. La pose de couronnes dentaires
D. L'extraction des dents de sagesse
E. Le sondage parodontologique à visée diagnostique",,,"D,E"
Quel l'acte génère le plus grand taux de bactériémie,"A. Le retraitement endodontique
B. Les traitements endodontiques initiaux
C. Les soins parodontaux
D. Le brossage des dents
E. La mastication",,,A
Quelle est la période à risque d'infection sur prothèse articulaire après chirurgie ?,"A. Toute la vie
B. Les 5 premières années
C. Les 6 premiers mois
D. Les 2 premières années
E. La première semaine",,,D
Quels sont les deux types de diabète ?,"A. Il existe deux types de diabètes : celui de type 1 touche les personnes âgées de plus de 50 ans, souvent en situation de surpoids, alors que celui de type 2 touche les sujets jeunes.
B. Il existe deux types de diabètes : celui de type 1 touche les personnes âgées de plus de 50 ans, souvent en situation de surpoids, alors que celui de type 2 touche les sujets jeunes.
C. Il existe deux types de diabètes : celui de type 1 touche les sujets jeunes alors que celui de type 2 touche les personnes âgées de plus de 50 ans, souvent en situation de sous-poids.
D. Il existe trois types de diabètes : type 1, type 2 et type 3.
E. Il existe deux types de diabètes : celui de type 1 touche les sujets jeunes alors que celui de type 2 touche les personnes âgées de plus de 50 ans, souvent en situation de surpoids.",,,E
Quels sont les facteurs pris en compte dans la surveillance de l'infection par le VIH ?,"A. Dans la surveillance de l'infection par le VIH, on prend en compte le taux de lymphocytes T4 et la charge virale.
B. Dans la surveillance de l'infection par le VIH, on ne prend en compte aucun facteur.
C. Dans la surveillance de l'infection par le VIH, on prend en compte la glycémie et le taux d'hémoglobine.
D. Dans la surveillance de l'infection par le VIH, on prend en compte la température corporelle et le poids corporel.
E. Dans la surveillance de l'infection par le VIH, on prend en compte la tension artérielle et le taux de cholestérol.",,,A
Quelle est la recommandation pour les patients ayant bénéficié d'une allogreffe d'organe et nécessitant un traitement endodontique ?,"A. Prescrire une antibiothérapie prophylactique
B. Référer le patient à un endodontiste
C. Prendre contact avec le médecin traitant
D. Prescrire une antibioprophylaxie systématique
E. Eviter formellement toute avulsion",,,C
Quelles sont les interactions médicamenteuses entre les principaux médicaments immunosuppresseurs et les médicaments utilisés en odontologie ?,"A. Les macrolides peuvent augmenter l'immunosuppression
B. Les antiprolifératifs  peuvent augmenter la néphrotoxicité
C. L'amoxicciline peut augmenter la synergie néphrotoxique avec les inhibiteurs de la calcineurine
D. Les inhibiteurs de la calcineurine peuvent concurrencer la sécrétion tubulaire
E. L'amoxicciline peut augmenter la néphrotoxicité et la synergie néphrotoxique avec les antiprolifératifs",,,A
Quelle est la principale complication chez les patients greffés rénaux sous traitement immunosuppresseur ?,"A. Les leucoplasies chevelues
B. Les infections fongiques ou virales
C. Les gingivites
D. Certains médicaments pourraient être néphrotoxiques
E. Les lésions cancéreuses",,,D
Quelle est la première étape de la conduite d'un examen clinique en endodontie?,"A. Sondage parodontal
B. Évaluation de la sensibilité à la percussion dentaire
C. Évaluation de la mobilité dentaire
D. Anamnèse du patient
E. Examen radiographique",,,E
"Selon la fiche de procédure CNEOC E2, quel test n'est PAS utilisé pour évaluer la sensibilité pulpaire?","A. Test électrique
B. Test au froid
C. Test au laser Doppler
D. Test à la percussion
E. Test au chaud",,,D
Lequel des symptômes suivants indique généralement une pulpite irréversible?,"A. Sensibilité au froid
B. Sensibilité au chaud
C. Sensibilité à la percussion
D. Absence de douleur
E. Douleur spontanée",,,E
"Pour l'anesthésie d'une molaire inférieure, quelle technique est couramment recommandée?","A. Anesthésie par infiltration
B. Bloc nerveux du nerf alvéolaire inférieur
C. Bloc nerveux du nerf palatin
D. Bloc nerveux du nerf maxillaire
E. Bloc du nerf mentonnier",,,B
Quelle est la principale utilité des clichés radiographiques en endodontie?,"A. Évaluer l’activité des lésions carieuses
B. Établir un pronostic
C. Évaluer l'état de la pulpe
D. Évaluer la mobilité dentaire
E. Visualiser les structures endodontiques et périradiculaires",,,E
"Après la prise en charge d'une pulpite, le patient (sans antécédents médicaux) vous rappelle le lendemain pour cause de douleurs persistantes. Quelle est votre attitude?","A. Réévaluer l’intensité de la douleur (EV
B. Prescrire un antibiotique à large spectre
C. Prescrire des antalgiques (paracétamol) associés à un anti-inflammatoire
D. Prescrire des antalgiques (paracétamol) seuls
E. Prescrire un antibiotique si la radiographie pré-opératoire montrait une lésion péri apicale",,,A
Quelle est la principale méthode de mise en forme canalaire manuelle en endodontie?,"A. Méthode de single-length
B. Méthode de balanced force
C. Méthode de step-back
D. Méthode de double flare
E. Méthode de crown-down",,,C
Quel(s) agent(s) d'irrigation permet(ent) la dissolution du tissu pulpaire?,"A. Chlorexidine
B. Hypochlorite de sodium
C. Eau distillée
D. Peroxyde d'hydrogène
E. Alcool éthylique",,,B
Quels sont les avantages de la pose d'un champ opératoire en endodontie ?,"A. Protéger les tissus mous lors de l'utilisation d'instruments rotatifs
B. Améliorer la visibilité du site opératoire
C. Permettre au praticien de s'absenter pendant le traitement
D. Réduire les interruptions verbales du patient
E. Assurer l'absence de réinfection microbienne durant le soin endodontique",,,"B,E"
Quels sont les objectifs de la reconstitution pré-endodontique ?,"A. Restaurer la morphologie occlusale de la dent pour assurer une fonction masticatoire adéquate et prévenir les problèmes d'occlusion qui pourraient compromettre le traitement endodontique
B. Rendre plus facile la pose de la digue, renforcer la structure coronaire de la dent et limiter les risques de fracture
C. Rendre plus facile la pose de la digue, créer un réservoir de solutions d'irrigation, éviter les percolations liquidiennes, faciliter la pose d'un pansement étanche, obtenir des repères occlusaux fiables
D. Réduire la douleur et l'inflammation avant le traitement endodontique et améliorer l'esthétique de la dent après le traitement endodontique
E. Stabiliser la structure de la dent pour permettre l'utilisation de l'endodontie mécanisée, réduisant ainsi les risques de déviation du canal ou de perforation",,,C
Quand est-il recommandé de conserver les restaurations coronaires existantes lors d'un traitement endodontique ?,"A. Restaurations récentes sur dent traitée endodontiquement présentant une symptomatologie après restauration définitive
B. Restaurations récentes sur dent vitale présentant une symptomatologie après restauration définitive
C. Restaurations anciennes sur dent traitée endodontiquement présentant une symptomatologie
D. Chirurgie endodontique indiquée en présence d'une couronne inadaptée
E. Chirurgie endodontique indiquée en présence d'une couronne adaptée",,,"B,E"
Quelle est la technique de reconstitution pré-endodontique adaptée aux pertes de substance légères à modérées ?,"A. La bague orthodontique
B. La bague de cuivre
C. Le matriçage
D. La couronne provisoire
E. La coiffe ou couronne préformée",,,C
Quels sont les matériaux de reconstitution pré-endodontique les plus indiqués pour une perte de substance faible à modérée ?,"A. Les amalgames
B. Le Cavit
C. L'IRM
D. Les ciments verre ionomère
E. Les composites",,,"D,E"
Quels sont les objectifs pour réaliser une cavité d'accès idéale ?,"A. Constituer un réservoir permanent pour les solutions d'irrigation
B. Visualiser les orifices canalaires
C. Permettre un accès direct des instruments au tiers apical
D. Permettre une bonne assise du pansement temporaire
E. Supprimer le plafond pulpaire",,,"A,B,C,D,E"
Quels outils sont indiqués pour la localisation d'orifices canalaires minéralisés et éliminer les surplombs présents ?,"A. Fraise boule diamant
B. Fraise Touati
C. Fraise boule tungstène long col
D. Fraise Endo Z
E. insert ultrasonore ET18D",,,"C,E"
Quelle est la forme de contour idéale de la cavité d'accès pour les incisives maxillaires ?,"A. Trapézoïdale
B. Ovale
C. Circulaire
D. Triangulaire à base incisale
E. Rectangulaire",,,D
Quelle est la principale difficulté lors de l'approfondissement de la cavité d'accès de l'incisive maxillaire?,"A. La présence d'un triangle dentinaire palatin
B. La rétraction apicale de la chambre pulpaire
C. La présence de canaux latéraux
D. L'angulation entre l'axe de la dent et de la racine
E. L'élimination du plafond pulpaire",,,D
Quelle est la forme de contour idéale de la cavité d'accès pour les premières molaires maxillaires ?,"A. Ovalaire
B. Circulaire
C. Triangulaire à grande base palatine
D. Trapézoïdale à grande base vestibulaire et petite base palatine
E. Rectangulaire",,,D
Quelle méthode est recommandée pour éliminer le surplomb dentinaire au niveau du MV2?,"A. Utilisation d'un insert approprié
B. Utilisation d'une fraise congé fine diamantée
C. Utilisation d'une lime endodontique
D. Utilisation d'une fraise boule long col
E. Utilisation d'un foret de Gates-Glidden",,,A
Où rechercher le canal MV2 au sein d'une première molaire maxillaire ?,"A. Plus en mésial par rapport à l'axe crée les canaux MV1 et palatin
B. Plus en distal par rapport à l'axe crée les canaux MV1 et palatin
C. Sur l'axe crée les canaux MV1 et palatin
D. Plus en mésial par rapport à l'axe crée les canaux DV et P
E. Plus en distal par rapport à l'axe crée les canaux MV1 et DV",,,A
Quels sont les critères pour choisir la technique d'anesthésie en endodontie ?,"A. La situation clinique
B. La présence d'un biofilm bactérien intracanalaire
C. Le risque d'effets secondaires immédiats
D. L'arcade considérée,
E. La position de la dent",,,"A,D,E"
Comment agissent les molécules anesthésiques sur les canaux sodiques ?,"A. Elles modifient la configuration spatiale des canaux sodiques
B. Elles se lient aux récepteurs de la dopamine
C. Elles augmentent la conduction nerveuse
D. Elles les rendent imperméables au passage des ions sodium
E. Elles bloquent la conduction nerveuse en se fixant sur les terminaisons nerveuses",,,D
Quelle est la classe des molécules anesthésiques utilisées en pratique odontostomatologique ?,"A. Amino-phénols
B. Amino-alcools
C. Amino-esters
D. Amino-amides
E. Amino-acides",,,D
Quels sont les effets des anesthésiques locaux sur le système cardio-vasculaire ?,"A. Aucun effet sur le système cardio-vasculaire
B. Augmentation de l'excitabilité des cellules myocardiques, accélération de la conduction électrique, augmentation du tonus vasculaire
C. Augmentation de la contractilité du myocarde, vasoconstriction périphérique
D. Baisse de l'excitabilité des cellules myocardiques, ralentissement de la conduction électrique, dépression du tonus vasculaire
E. Diminution de la contractilité du myocarde, vasodilatation périphérique",,,D
Quels sont les effets des vasoconstricteurs contenus dans les solutions anesthésiques ?,"A. Troubles neurologiques, maux de tête, vertiges
B. Troubles gastro-intestinaux, nausées, diarrhée
C. Réactions cardio-vasculaires, tachycardie transitoire, légère élévation de la tension, bradycardie sinusienne, hypotension
D. Troubles respiratoires, essoufflement, bronchospasme
E. Réactions allergiques, démangeaisons, éruption cutanée",,,C
Quelles sont les contre-indications médicales à l'utilisation d'un anesthésique local à fonction amide ?,"A. Hypertension
B. Porphyrie hépatique
C. Diabète
D. Asthme
E. Hyperthyroïdie",,,B
Quelles sont les précautions d'emploi pour les femmes enceintes ou allaitantes ?,"A. Contre-indication à l'utilisation des aminoamides, éviter  l'allaitement pendant 24 heures après l'administration de la solution anesthésique
B. Aucune contre-indication à l'utilisation des aminoamides, allaitement autorisé pendant 24 heures après l'administration de la solution anesthésique
C. Aucune contre-indication à l'utilisation des aminoamides, éviter l'allaitement pendant 4 heures après l'administration de la solution anesthésique
D. Contre-indication à l'utilisation des aminoamides, éviter la grossesse pendant 4 heures après l'administration de la solution anesthésique
E. Contre-indication à l'utilisation des aminoamides, allaitement interdit même à plusieurs jours de l'anesthésie",,,C
Quelles sont les précautions d'emploi pour les patients ayant des antécédents d'infarctus du myocarde ?,"A. Éviter l'utilisation de vasoconstricteurs dans les 6 mois suivant l'accident cardiaque ischémique
B. Éviter l'utilisation d'anesthésiques locaux à fonction amide
C. Éviter l'utilisation d'anesthésiques locaux avec vasoconstricteurs
D. Utiliser des vasoconstricteurs de manière régulière
E. Aucune précaution particulière à prendre",,,A
Quelle est la limite des techniques anesthésiques intra-osseuses (intraligamentaire et transcortical  ?,"A. Leur diffusion transmuqueuse de la molécule anesthésique
B. Leur préparation psychologique du patient
C. Leur injection sous-périostée
D. Leur faible durée d'action
E. Leur efficacité en association avec l'infiltration régionale",,,D
Quelle est la valeur prédictive du test au froid pour évaluer l'installation effective de l'effet anesthésique en dehors d'un contexte de pulpite aiguë irréversible ?,"A. 0.75
B. 0.5
C. 1
D. 0.8
E. 0.25",,,D
